"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","2456965979.16667","2793629875","2897349541.66667","3039893333.33333","2873828479.16667","3119808458.33333","3474042270.83333","4051301791.66667","4007943291.66667","4694023458.33333","4906564104.16667","4466180333.33333","3748417450","4580228698.11078","7086626349.48531","12049056624.6057","5252244444.44444","4719224479.63801","7205399623.01587","8164407614.98029","5953613619.12145","6470084405.14076","5824699760.97804","5466910661.19529","6565272658","7353379302.30769","7048070139.66667","7936685184.51613","8324326008.19468","8796164998.20343","9634281364.48138","9806409383.7535","9676763806.36605","9061453232.80423","9024856144.6384","10359209305.9701","10804474327.6284","11214941451.9906","11290220264.3172","11617096505.8236","12124627310.6738","11796200889.5478","11264478495.5598","11919119170.9845","12544436894.8531","12902415664.8716","12947654915.3759","14176076845.4646","16124167061.4102","17527995678.9827","19598203511.7426","21618900745.3326","21566430410.319","23239755468.7663","26540897205.5834","28848516252.0393","35711930211.014","38059723938.1029","40106319550.566","42061125594.3548","44876362005.1668","48424291473.762","51615737117.6808","48131827349.4816","50254940951.1174",
"Bulgaria","BGR","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","2860538461.53846","3303500000","3322533333.33333","2398333333.33333","2782222222.22222","2036105263.15789","2616117647.05882","3314846153.84615","2584764705.88235","2405944444.44444","3661363636.36364","1174106138.97009","999485883.209803","1076103500.76103","1115749806.03687","1750695984.87443","1179404010.36601","2317185719.06778","2015899606.78453","1767180375.77129","1453149026.8571","1503906700.57509","1592828994.08996","1923266666.74362","2210900959.87008","2175539169.81602","2095935461.9831","2066846506.42035","3197812906.42479","2203616712.11609","2044036383.03172","2688737950.22674","2405435432.47594","2520472431.86092","2602156584.35893","2062099297.21152","2186782327.56914","2392252650.30903","2250356357.89558","2193655905.23868","2421928029.11789","3652532539.19064","3359012914.06785","2577920990.26682","2317622336.46524",
"Bahrain","BHR","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49734042.5531915","63510638.2978723","68085106.3829787","77367021.2765957","76542553.1914894","83723404.2553191","84760638.2978723","89388297.8723404","100132978.723404","98191489.3617021","107074468.085106","103085106.382979","108856382.978723","108670212.765957","108643617.021277","109707446.808511","114361702.12766","116170212.765957","",
"Bahamas, The","BHS","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","41700000","44200000","44800000","49600000","","61623000","69922000","88162000","82793000","76103000","87181000","97183000","95527000","98900000","94200000","97400000","108600000","99700000","134400000","119500000","105200000","104700000","119000000","116100000","109800000","90800000","110800000","110000000","115000000","97200000","93400000","96500000","104200000","95900000","86800000","71000000","80400000","54700000","57600000","69400000","81500000",
"Bosnia and Herzegovina","BIH","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450246913.580247","386380573.581746","576711390.217969","643246815.558436","657054057.924563","621537807.870705","501181048.208549","529049623.4547","597028924.486447","688836953.786992","871786240.990581","931196740.428378","1036171581.55621","1215744123.70023","1377511241.79521","1246469009.31961","1167433332.88189","1259929833.38984","1057320474.83593","1243703917.92273","1104440942.6599","990423546.009849","1055359335.43686","995314497.972459","1171438486.16614","1116310816.98325","1196256777.92856","1188208678.4881","1184103809.66006","1283933864.80124","1205856611.43948",
"Belarus","BLR","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3975903614.45783","4089979550.10225","3866691217.08709","2792373021.38065","2029124396.7383","2203002648.52918","2228076923.07692","1896032357.47304","1835963581.18361","1541624548.73646","1540746318.60776","1278776978.41727","1478234650.34731","1539339043.61688","2048086804.36614","2573474106.47129","3170860223.07606","3759319317.08044","5264931660.73769","4136445820.87682","5089021020.5774","4942156502.09161","5340882102.46015","5142741313.39351","5755763343.47277","3547170379.98894","3290672373.78258","4140416137.51603","3956109320.34032","4376457787.44736","4343420472.82826","4672752518.53821","5932866227.48563","5253695113.63825","5215526376.75159",
"Belize","BLZ","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","39500000","42600000","46400000","44450000","35400000","36150000","38750000","37450000","41400000","54550000","59150000","65450000","73200000","73050000","82400000","84200000","88050000","98100000","100500000","98900000","98850000","110600000","121150000","111450000","114200000","136850000","144850000","143600000","151400000","148300000","144900000","144250000","153000000","162350000","198900000","205150000","217650000","210850000","172550000","194000000","163800000","156100000","171100000","191750000","220600000","248450000","",
"Bermuda","BMU","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21563100","23462600","21915200","23271000","23281000","25481000","31319000","34407000","37858000","39025000","","","","","18981000","19755000","17948000","21226000","13541000","15165000","21184000","19620000","16980000","16403000","17596000","21213000","17209000","16517000","",
"Bolivia","BOL","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","196416666.666667","215250000","247615384.615385","254250000","446450000","501500000","563450000","651550000","695450000","814150000","754280000","998480000","900890625","1053465517.24138","1329227997.44898","1022522924.62542","670449569.65761","708549297.02898","723451724.971301","719805634.615963","747349126.124848","830454967.424527","812954385.277644","840016618.668382","911794762.361008","997825967.399823","1049233517.75466","1182381965.25561","1072845356.00139","1098433145.09236","1088850144.46413","1079211287.20097","1024164979.0795","1085242951.35489","1168832900.70565","1126101473.06083","1252551039.32202","1313474436.21999","1741195313.11198","1933826581.19658","2041587765.24524","2341101955.00566","2657574746.74385","3055810014.47178","3213900492.04052","3379053357.45297","3791860332.85094","4347002547.03329","4625797178.00289","4998127221.41823","5128518986.9754","5221650824.89146","5487272054.99276","6077991056.43994","",
"Brazil","BRA","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29544803216.8382","15326680532.2037","19072049434.7521","22332096135.2074","23503326311.9943","26580748796.1438","26498422995.2422","30163921217.6184","34862980954.2524","26806433333.3333","23434090909.0909","22337019969.278","24963236408.287","45822669117.9568","38556406517.8327","40551829370.2119","41378624887.7543","41026647864.7017","27859257756.4883","31136805921.8672","26885055191.6215","27912692634.443","34427304397.2737","37917331260.7111","41471395174.972","48403764767.32","61709365411.8162","77464136446.9968","74627663011.6213","90910382798.8088","113594396079.934","102758786299.921","111447161967.804","106238886301.123","77840238251.5396","87833717601.3723","94933898688.0007","84736132682.8734","78772033055.8901","84307644797.5909","109573796979.498","112576723586.698","131973186081.155","121604096078.353",
