m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
788,Water use,Pressure on water resources,SDG 6.4.2. Municipal Sector Contribution to Water Stress,Tunisia,2021,22.303472441,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Municipal Sector Contribution to Water Stress,Tunisia,2022,22.303472441,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Tunisia,2017,89.531015921,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Tunisia,2018,95.9987812,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Tunisia,2019,96.310590864,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Tunisia,2020,98.113399182,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Tunisia,2021,98.113399182,%,E,false
788,Water use,Pressure on water resources,SDG 6.4.2. Water Stress,Tunisia,2022,98.113399182,%,E,false
788,Water use,Water withdrawal by sector,Agricultural water withdrawal,Tunisia,2017,2.691,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Agricultural water withdrawal,Tunisia,2018,2.9326,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Agricultural water withdrawal,Tunisia,2019,2.933,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Agricultural water withdrawal,Tunisia,2020,2.71,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Agricultural water withdrawal,Tunisia,2021,2.71,10^9 m3/year,I,false
788,Water use,Water withdrawal by sector,Agricultural water withdrawal,Tunisia,2022,2.71,10^9 m3/year,I,false
788,Water use,Water withdrawal by sector,Industrial water withdrawal,Tunisia,2017,0.09,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Industrial water withdrawal,Tunisia,2018,0.04588,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Industrial water withdrawal,Tunisia,2019,0.0678,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Industrial water withdrawal,Tunisia,2020,0.0619,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Industrial water withdrawal,Tunisia,2021,0.0619,10^9 m3/year,I,false
788,Water use,Water withdrawal by sector,Industrial water withdrawal,Tunisia,2022,0.0619,10^9 m3/year,I,false
788,Water use,Water withdrawal by sector,Irrigation water withdrawal,Tunisia,2017,2.691,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Irrigation water withdrawal,Tunisia,2018,2.9326,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Irrigation water withdrawal,Tunisia,2019,2.9326,10^9 m3/year,I,false
788,Water use,Water withdrawal by sector,Irrigation water withdrawal,Tunisia,2020,2.9326,10^9 m3/year,I,false
788,Water use,Water withdrawal by sector,Irrigation water withdrawal,Tunisia,2021,2.9326,10^9 m3/year,I,false
788,Water use,Water withdrawal by sector,Irrigation water withdrawal,Tunisia,2022,2.9326,10^9 m3/year,I,false
788,Water use,Water withdrawal by sector,Total water withdrawal,Tunisia,2017,3.616,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Total water withdrawal,Tunisia,2018,3.8447,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Total water withdrawal,Tunisia,2019,3.8402,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Total water withdrawal,Tunisia,2020,3.5874,10^9 m3/year,A,false
788,Water use,Water withdrawal by sector,Total water withdrawal,Tunisia,2021,3.5874,10^9 m3/year,I,false
788,Water use,Water withdrawal by sector,Total water withdrawal,Tunisia,2022,3.5874,10^9 m3/year,I,false
788,Water use,Water withdrawal by source,Fresh groundwater withdrawal,Tunisia,2017,2.691,10^9 m3/year,A,false
788,Water use,Water withdrawal by source,Fresh groundwater withdrawal,Tunisia,2018,2.73472,10^9 m3/year,A,false
788,Water use,Water withdrawal by source,Fresh groundwater withdrawal,Tunisia,2019,2.747,10^9 m3/year,A,false
788,Water use,Water withdrawal by source,Fresh groundwater withdrawal,Tunisia,2020,2.818,10^9 m3/year,A,false
788,Water use,Water withdrawal by source,Fresh groundwater withdrawal,Tunisia,2021,2.818,10^9 m3/year,I,false
788,Water use,Water withdrawal by source,Fresh groundwater withdrawal,Tunisia,2022,2.818,10^9 m3/year,I,false
788,Water use,Water withdrawal by source,Total freshwater withdrawal,Tunisia,2017,3.526,10^9 m3/year,A,false
788,Water use,Water withdrawal by source,Total freshwater withdrawal,Tunisia,2018,3.78072,10^9 m3/year,A,false
788,Water use,Water withdrawal by source,Total freshwater withdrawal,Tunisia,2019,3.793,10^9 m3/year,E,false
788,Water use,Water withdrawal by source,Total freshwater withdrawal,Tunisia,2020,3.864,10^9 m3/year,E,false
788,Water use,Water withdrawal by source,Total freshwater withdrawal,Tunisia,2021,3.864,10^9 m3/year,E,false
788,Water use,Water withdrawal by source,Total freshwater withdrawal,Tunisia,2022,3.864,10^9 m3/year,E,false
